qid,ndcg10,recall10,recall100,mrr,num_relevant
12139,0.8315546295836225,1.0,1.0,1.0,2
12151,1.0,1.0,1.0,1.0,3
12157,0.6131471927654584,0.5,1.0,1.0,2
12160,0.9058653015743079,1.0,1.0,1.0,4
12162,0.0,0.0,1.0,0.08333333333333333,1
12165,0.3482538302146053,0.5,1.0,0.25,6
12166,1.0,1.0,1.0,1.0,1
12169,0.8519590445170673,1.0,1.0,1.0,3
12172,0.8175295903539445,1.0,1.0,1.0,2
12174,0.7087212693585175,0.75,1.0,1.0,4
12184,1.0,1.0,1.0,1.0,3
12196,0.43734888382569426,0.6666666666666666,1.0,0.5,3
12203,1.0,1.0,1.0,1.0,2
12204,0.7653606369886217,0.6666666666666666,1.0,1.0,3
12205,1.0,1.0,1.0,1.0,1
12209,0.5012658353418871,1.0,1.0,0.25,2
12213,0.34870224750355494,0.6666666666666666,0.6666666666666666,0.2,3
12220,0.3010299956639812,1.0,1.0,0.1111111111111111,1
12221,0.5805485932475565,0.75,1.0,0.5,4
12224,0.6364391809889587,0.6666666666666666,1.0,1.0,3
12225,0.46927872602275644,0.3333333333333333,0.6666666666666666,1.0,3
12226,0.43067655807339306,1.0,1.0,0.25,1
12234,0.6131471927654584,0.5,1.0,1.0,2
12246,0.9325210919548239,1.0,1.0,1.0,3
12249,0.6309297535714575,1.0,1.0,0.5,1
1225,0.5912352048230277,1.0,1.0,0.5,2
12259,0.8325036712789009,0.8333333333333334,1.0,1.0,6
12260,0.2640681225725909,0.5,0.5,0.25,2
12266,1.0,1.0,1.0,1.0,2
1227,1.0,1.0,1.0,1.0,3
12279,0.6934264036172708,1.0,1.0,0.5,2
12282,1.0,1.0,1.0,1.0,2
12285,1.0,1.0,1.0,1.0,1
12293,0.8772153153380493,1.0,1.0,1.0,2
12295,1.0,1.0,1.0,1.0,3
12296,0.0,0.0,1.0,0.047619047619047616,1
12298,0.6309297535714575,1.0,1.0,0.5,1
12314,0.4144299250118475,0.5,1.0,0.5,4
12320,1.0,1.0,1.0,1.0,1
12329,0.7122630665145961,1.0,1.0,0.5,3
12333,0.8539316501572937,0.8,1.0,1.0,5
12335,0.9838048780283076,1.0,1.0,1.0,6
12340,0.7899917627398735,0.7142857142857143,1.0,1.0,7
12347,1.0,1.0,1.0,1.0,1
12349,0.6309297535714575,1.0,1.0,0.5,1
1235,0.43067655807339306,1.0,1.0,0.25,1
12351,0.5,1.0,1.0,0.3333333333333333,1
12356,0.6309297535714575,1.0,1.0,0.5,1
12359,0.43067655807339306,1.0,1.0,0.25,1
12366,0.6509209298071326,1.0,1.0,0.5,2
12369,0.6309297535714575,1.0,1.0,0.5,1
1237,0.5531464700081437,0.4,0.6,1.0,5
12373,1.0,1.0,1.0,1.0,1
12379,1.0,1.0,1.0,1.0,1
1238,0.6309297535714575,1.0,1.0,0.5,1
12384,1.0,1.0,1.0,1.0,1
1239,1.0,1.0,1.0,1.0,1
12392,0.19342640361727081,0.5,1.0,0.125,2
12394,1.0,1.0,1.0,1.0,4
12399,0.41183384043543503,1.0,1.0,0.16666666666666666,2
1240,0.9349366583346498,1.0,1.0,1.0,4
12415,0.9619991470595832,1.0,1.0,1.0,4
1244,1.0,1.0,1.0,1.0,3
12440,0.9062487935025676,0.875,1.0,1.0,8
1245,0.8503449055347546,1.0,1.0,1.0,2
12454,1.0,1.0,1.0,1.0,1
12455,0.8277566336180304,0.8333333333333334,1.0,1.0,6
12459,0.7653606369886217,0.6666666666666666,1.0,1.0,3
1247,1.0,1.0,1.0,1.0,1
12472,0.6240505200038379,1.0,1.0,0.5,2
12480,0.5585075862632192,0.5,1.0,1.0,4
12481,1.0,1.0,1.0,1.0,1
12482,0.7653606369886217,0.6666666666666666,1.0,1.0,3
12488,0.38685280723454163,1.0,1.0,0.2,1
125,1.0,1.0,1.0,1.0,1
12500,0.6131471927654584,0.5,1.0,1.0,2
12509,1.0,1.0,1.0,1.0,2
1251,0.787702056960637,0.75,1.0,1.0,4
12510,0.0,0.0,1.0,0.09090909090909091,2
12519,1.0,1.0,1.0,1.0,2
1252,0.9197207891481876,1.0,1.0,1.0,2
12524,0.6992148198508501,0.6,1.0,1.0,5
12526,1.0,1.0,1.0,1.0,1
1253,0.8927537907700456,1.0,1.0,1.0,4
12530,0.7653606369886217,0.6666666666666666,1.0,1.0,3
12535,1.0,1.0,1.0,1.0,1
12536,0.9197207891481876,1.0,1.0,1.0,2
12540,0.0,0.0,0.6666666666666666,0.047619047619047616,3
12545,0.5,1.0,1.0,0.3333333333333333,1
12553,1.0,1.0,1.0,1.0,1
12556,1.0,1.0,1.0,1.0,1
12560,1.0,1.0,1.0,1.0,1
12563,0.9197207891481876,1.0,1.0,1.0,2
12571,1.0,1.0,1.0,1.0,1
12572,0.2890648263178879,1.0,1.0,0.1,1
12574,0.9896062251871525,1.0,1.0,1.0,5
1258,0.6601396023754075,0.6,1.0,1.0,5
12597,0.5706417189553201,1.0,1.0,0.3333333333333333,2
126,0.43067655807339306,1.0,1.0,0.25,1
12605,0.5,1.0,1.0,0.3333333333333333,1
12607,0.6489315753318465,0.5,1.0,1.0,10
12615,0.6240505200038379,1.0,1.0,0.5,2
12625,1.0,1.0,1.0,1.0,1
12643,0.5,1.0,1.0,0.3333333333333333,1
12646,1.0,1.0,1.0,1.0,1
12649,0.43067655807339306,1.0,1.0,0.25,1
12651,0.6052602440527057,1.0,1.0,0.5,2
12655,0.8503449055347546,1.0,1.0,1.0,2
12657,0.38685280723454163,1.0,1.0,0.2,1
12660,1.0,1.0,1.0,1.0,1
12665,1.0,1.0,1.0,1.0,1
12669,0.3295827480202853,0.6666666666666666,1.0,0.2,3
12670,0.16716045496620227,0.3333333333333333,1.0,0.16666666666666666,3
12671,0.7653606369886217,0.6666666666666666,1.0,1.0,3
12672,0.40298313359773236,1.0,1.0,0.16666666666666666,2
12680,0.9438661545147249,1.0,1.0,1.0,4
12692,1.0,1.0,1.0,1.0,1
1270,1.0,1.0,1.0,1.0,1
12705,0.615733440277688,0.6,1.0,1.0,5
12709,0.8829374068620365,0.8333333333333334,0.8333333333333334,1.0,6
12712,0.9325210919548239,1.0,1.0,1.0,3
12714,1.0,1.0,1.0,1.0,1
12720,0.5437713091520254,1.0,1.0,0.3333333333333333,2
12721,0.3065735963827292,0.5,1.0,0.3333333333333333,2
12723,0.8988898126139723,1.0,1.0,1.0,4
12727,0.9197207891481876,1.0,1.0,1.0,2
12729,0.6338412308988606,1.0,1.0,0.5,3
12730,1.0,1.0,1.0,1.0,1
12739,1.0,1.0,1.0,1.0,1
12754,0.8315546295836225,1.0,1.0,1.0,2
12755,1.0,1.0,1.0,1.0,1
12758,1.0,1.0,1.0,1.0,1
12764,0.8687949224876582,0.8,1.0,1.0,5
12782,0.8318724637288826,0.75,1.0,1.0,4
12784,1.0,1.0,1.0,1.0,1
12787,0.5802792108518124,1.0,1.0,0.5,2
12790,0.6934264036172708,1.0,1.0,0.5,2
12793,1.0,1.0,1.0,1.0,3
